actual,batch_id,blocker,check_name,check_type,checked_at,entity_id,entity_type,expected,jurisdiction_id,notes,owner,qa_id,result,severity,source_id
2/2 controls pass for Alma Town Hall and the Alma Community Building. Both route to Alma townwide and the Mayor plus aggregate Trustee office.,CO-NORM-002,False,Two townwide address controls,ADDRESS_TESTS,2026-08-19,division-co-alma-townwide,Division,At least two independent official municipal addresses route consistently to the townwide division and active elected offices.,jurisdiction-co-alma,Townwide controls pass; no internal electoral district inference exists.,GPT,qa-co-alma-address-tests,True,WARNING,src-co-alma-venues
GEOID 0801530 maps to division-co-alma-townwide; Mayor and all four Trustee seats are townwide.,CO-NORM-002,False,Townwide electoral geography,BOUNDARY,2026-08-19,division-co-alma-townwide,Division,Alma's incorporated-place boundary maps to one townwide electorate with no normalized internal electoral districts.,jurisdiction-co-alma,DS-005 authority is tested separately; no internal district geometry is required.,GPT,qa-co-alma-boundary,True,INFO,src-co-alma-park-county-gis
"All bounded formal-QA checks pass; QA failures = 0, blocking gaps = 0, geography_gate_ok = TRUE. The sourced Utilities Board membership-rule conflict and tenure-transition precision limits remain nonblocking warnings.",CO-NORM-002,False,Formal normalization QA summary,QA,2026-08-19,jurisdiction-co-alma,Jurisdiction,All SCOPE-through-FRESHNESS checks and geography authority pass with zero blocking failures.,jurisdiction-co-alma,"Alma formal QA is closed. Parity, replication, closeout, release, and publication were not run.",GPT,qa-co-alma-core-summary,True,INFO,src-co-alma-elections
Core source mapping was accessed 2026-08-18; boards/commissions conflict evidence was revalidated 2026-08-19 08:53 America/Denver and DS-005/venue additions were recorded 2026-08-19 14:37 America/Denver.,CO-NORM-002,False,Current evidence revalidation,FRESHNESS,2026-08-19,jurisdiction-co-alma,Jurisdiction,"Current election, governing-body, code/conflict, address, GIS, and geography evidence was accessed or revalidated within the current production day.",jurisdiction-co-alma,A fresh source readback remains required before any future release or publication action.,GPT,qa-co-alma-freshness,True,INFO,src-co-alma-elections
PLACE | CANONICAL | GEOGRAPHY_AND_JURISDICTION | 1600000US0801530 | PASS | GEO-AUTH-2025-001 | 2026-08-01,CO-NORM-002,False,DS-005 geography authority,GEOGRAPHY_AUTHORITY,2026-08-19,jurisdiction-co-alma,Jurisdiction,PLACE + CANONICAL + GEOGRAPHY_AND_JURISDICTION + matching canonical target + PASS + GEO-AUTH-2025-001 + reviewed date.,jurisdiction-co-alma,"Exact Source_GEOIDFQ matched the authoritative Geography_Disposition row. Parity, replication, closeout, release, and publication remain separately gated.",GPT,qa-co-alma-geography-authority,True,INFO,src-ds005-geography-disposition-alma
2 VERIFIED crosswalks: GEOID 0801530 and PLACEFP 01530.,CO-NORM-002,False,Census identifier integrity,IDENTIFIERS,2026-08-19,jurisdiction-co-alma,Jurisdiction,GEOID and PLACEFP retain leading zeros and VERIFIED status.,jurisdiction-co-alma,Factory-derived OCD identifiers remain provenance-labeled and are not treated as external partner validation.,GPT,qa-co-alma-identifiers,True,INFO,src-co-alma-census-incplace-2025
"1 townwide division, 1 Board of Trustees, 2 ACTIVE Office records representing 5 elected seats, 5 people, and 5 CURRENT RoleTerms are present. Mayor is one seat; Trustees are one aggregate four-seat office.",CO-NORM-002,False,Normalized post-2026 statutory-town governing structure,NORMALIZATION,2026-08-19,jurisdiction-co-alma,Jurisdiction,The elected governing structure is normalized from current 2026 evidence; conflicted Utilities Board membership text is excluded from current normalized membership.,jurisdiction-co-alma,PASS with the existing nonblocking Utilities Board rule conflict. No current Utilities Board membership count or unsupported future staggering was normalized.,GPT,qa-co-alma-normalization,True,WARNING,src-co-alma-elections
5 active seats = 5 current RoleTerms + 0 vacant seats,CO-NORM-002,False,Active seat capacity vs current coverage,PARITY,46253,jurisdiction-co-alma,Jurisdiction,Total ACTIVE Office.seats = CURRENT RoleTerms + explicit vacant seat capacity,jurisdiction-co-alma,"PASS — Mayor 1 seat plus the aggregate Trustee office 4 seats equals five elected seats, matched by five CURRENT RoleTerms with zero vacancies. The sourced nonblocking Utilities Board membership-rule conflict and tenure-transition warning remain preserved and do not alter elected-seat parity. Replication, closeout, release, and publication remain separately gated.",GPT,qa-co-alma-parity,True,INFO,src-co-alma-elections
"Bob Kassel, Ian Greene, Paul Greguoli, Cody Lefever, and Andrew Zimmerman map to 5 CURRENT RoleTerms across 5 active seats; vacant seats = 0.",CO-NORM-002,False,Current roster and seat coverage,PEOPLE,2026-08-19,jurisdiction-co-alma,Jurisdiction,"Five unique current elected officials cover all five active elected seats, or any uncovered seat is explicitly vacant.",jurisdiction-co-alma,Ian Green is retained as an alias for canonical Ian Greene; the aggregate four-seat Trustee Office carries four current RoleTerms.,GPT,qa-co-alma-people,True,INFO,src-co-alma-elections
20 source-linked assertions are recorded: 19 are NORMALIZED and 1 is CONFLICT. The Utilities Board seven-member rule conflict is preserved as a sourced OPEN nonblocking KnownGap and was not converted into a current membership fact.,CO-NORM-002,False,RAW assertion and conflict coverage,RAW,2026-08-19,jurisdiction-co-alma,Jurisdiction,"Evidence-backed RAW assertions exist before normalization, and material source conflicts are preserved rather than overwritten.",jurisdiction-co-alma,"PASS under the playbook conflict rule: preserve observed conflict, classify severity/blocking, and do not infer through it.",GPT,qa-co-alma-raw,True,WARNING,src-co-alma-boards-commissions-code
