assertion_id,batch_id,confidence,jurisdiction_id,normalized_status,notes,object_type,object_value,observed_text,predicate,source_id,source_locator,subject_id,subject_type
asrt-co-aspen-city-hall-address,CO-NORM-001,HIGH,jurisdiction-co-aspen,NORMALIZED,Normalized under the bounded Aspen CO-NORM-001 execution.,TEXT,"427 Rio Grande Place, Aspen, CO 81611",The official City Hall address is 427 Rio Grande Place in Aspen.,official_facility_address,src-co-aspen-contact-city-hall,Contact Us — City Hall,jurisdiction-co-aspen,Jurisdiction
asrt-co-aspen-citywide-division,CO-NORM-001,HIGH,jurisdiction-co-aspen,NORMALIZED,Normalized under the bounded Aspen CO-NORM-001 execution.,TEXT,CITYWIDE_ONLY,The official structure uses one citywide electorate and no internal Council districts.,electoral_division_scope,src-co-aspen-gis-mapping,GIS and Mapping; Charter Article III,division-co-aspen-citywide,Division
asrt-co-aspen-classification,CO-NORM-001,HIGH,jurisdiction-co-aspen,NORMALIZED,Normalized under the bounded Aspen CO-NORM-001 execution.,TEXT,Home Rule City,Aspen operates under a home-rule Charter.,classification,src-co-aspen-municipal-code,Municipal Code and Charter — current Charter,jurisdiction-co-aspen,Jurisdiction
asrt-co-aspen-combined-term-limit,CO-NORM-001,HIGH,jurisdiction-co-aspen,NORMALIZED,Normalized under the bounded Aspen CO-NORM-001 execution.,TEXT,14,Combined consecutive service as Mayor and Councilmember may not exceed fourteen years.,combined_consecutive_year_limit,src-co-aspen-municipal-code,Charter §3.10,body-co-aspen-city-council,Body
asrt-co-aspen-council-composition,CO-NORM-001,HIGH,jurisdiction-co-aspen,NORMALIZED,Normalized under the bounded Aspen CO-NORM-001 execution.,TEXT,Mayor plus four Councilmembers,The Council consists of four Councilmembers and one Mayor.,composition,src-co-aspen-municipal-code,Charter §3.1,body-co-aspen-city-council,Body
asrt-co-aspen-council-term-limit,CO-NORM-001,HIGH,jurisdiction-co-aspen,NORMALIZED,Normalized under the bounded Aspen CO-NORM-001 execution.,TEXT,2,A Councilmember may serve no more than two consecutive terms.,consecutive_term_limit,src-co-aspen-municipal-code,Charter §3.10,body-co-aspen-city-council,Office
asrt-co-aspen-council-term-rule,CO-NORM-001,HIGH,jurisdiction-co-aspen,NORMALIZED,Normalized under the bounded Aspen CO-NORM-001 execution.,TEXT,4,"Councilmembers serve staggered four-year terms, with two seats elected each regular cycle.",council_term_length_years,src-co-aspen-municipal-code,Charter §3.2,body-co-aspen-city-council,Office
asrt-co-aspen-county,CO-NORM-001,HIGH,jurisdiction-co-aspen,NORMALIZED,Normalized under the bounded Aspen CO-NORM-001 execution.,TEXT,Pitkin County,The official City contact path identifies Pitkin County for county matters.,county_name,src-co-aspen-contact-city-hall,Contact Us — county matters,jurisdiction-co-aspen,Jurisdiction
asrt-co-aspen-ds005-authority,CO-NORM-001,HIGH,jurisdiction-co-aspen,NORMALIZED,Normalized under the bounded Aspen CO-NORM-001 execution.,TEXT,PLACE | CANONICAL | GEOGRAPHY_AND_JURISDICTION | 1600000US0803620 | PASS | GEO-AUTH-2025-001 | 2026-08-01,The exact fully qualified Census key passes the governed geography-authority contract.,geography_authority,src-ds005-geography-disposition-aspen,Geography_Disposition row 5695,jurisdiction-co-aspen,Jurisdiction
asrt-co-aspen-elected-bill-guth,CO-NORM-001,HIGH,jurisdiction-co-aspen,NORMALIZED,Normalized under the bounded Aspen CO-NORM-001 execution.,TEXT,2023-03,The official roster reports election in March 2023.,elected_period,src-co-aspen-city-council,City Council roster — Councilmember,person-co-aspen-bill-guth,Person
asrt-co-aspen-elected-christine-benedetti,CO-NORM-001,HIGH,jurisdiction-co-aspen,NORMALIZED,Normalized under the bounded Aspen CO-NORM-001 execution.,TEXT,2025-04,The official roster reports election in April 2025.,elected_period,src-co-aspen-city-council,City Council roster — Councilmember,person-co-aspen-christine-benedetti,Person
asrt-co-aspen-elected-john-doyle,CO-NORM-001,HIGH,jurisdiction-co-aspen,NORMALIZED,Normalized under the bounded Aspen CO-NORM-001 execution.,TEXT,2025-04,The official roster reports election to Council in April 2025.,elected_period,src-co-aspen-city-council,City Council roster — Mayor Pro Tem,person-co-aspen-john-doyle,Person
asrt-co-aspen-elected-rachael-richards,CO-NORM-001,HIGH,jurisdiction-co-aspen,NORMALIZED,Normalized under the bounded Aspen CO-NORM-001 execution.,TEXT,2025-03,The official roster reports election in March 2025.,elected_period,src-co-aspen-city-council,City Council roster — Mayor,person-co-aspen-rachael-richards,Person
asrt-co-aspen-elected-sam-rose,CO-NORM-001,HIGH,jurisdiction-co-aspen,NORMALIZED,Normalized under the bounded Aspen CO-NORM-001 execution.,TEXT,2023-03,The official roster reports election in March 2023.,elected_period,src-co-aspen-city-council,City Council roster — Councilmember,person-co-aspen-sam-rose,Person
asrt-co-aspen-election-geography,CO-NORM-001,HIGH,jurisdiction-co-aspen,NORMALIZED,Normalized under the bounded Aspen CO-NORM-001 execution.,TEXT,AT_LARGE,The Mayor and all four Councilmembers are elected at large.,election_geography,src-co-aspen-municipal-code,Charter §3.1,body-co-aspen-city-council,Body
asrt-co-aspen-geoid,CO-NORM-001,HIGH,jurisdiction-co-aspen,NORMALIZED,Normalized under the bounded Aspen CO-NORM-001 execution.,TEXT,0803620,The Census incorporated-place GEOID for Aspen is 0803620.,geoid,src-co-aspen-census-incplace-2025,Colorado incorporated-place row,jurisdiction-co-aspen,Jurisdiction
asrt-co-aspen-gis-platform,CO-NORM-001,HIGH,jurisdiction-co-aspen,NORMALIZED,Normalized under the bounded Aspen CO-NORM-001 execution.,TEXT,City of Aspen GIS and Mapping,The City maintains an official GIS and open-data mapping platform.,boundary_source,src-co-aspen-gis-mapping,GIS and Mapping,jurisdiction-co-aspen,Jurisdiction
asrt-co-aspen-governing-body,CO-NORM-001,HIGH,jurisdiction-co-aspen,NORMALIZED,Normalized under the bounded Aspen CO-NORM-001 execution.,TEXT,Aspen City Council,The Charter establishes the Aspen City Council as the elected governing body.,governing_body,src-co-aspen-municipal-code,Charter Article III,body-co-aspen-city-council,Body
asrt-co-aspen-government-form,CO-NORM-001,HIGH,jurisdiction-co-aspen,NORMALIZED,Normalized under the bounded Aspen CO-NORM-001 execution.,TEXT,Council-Manager,The Charter vests executive administration in a City Manager appointed by the Council.,government_form,src-co-aspen-municipal-code,Charter Article V — City Manager,jurisdiction-co-aspen,Jurisdiction
asrt-co-aspen-holder-bill-guth,CO-NORM-001,HIGH,jurisdiction-co-aspen,NORMALIZED,Normalized under the bounded Aspen CO-NORM-001 execution.,TEXT,office-co-aspen-council-at-large-2023-bill-guth,Bill Guth is a current at-large Councilmember.,current_office,src-co-aspen-city-council,City Council roster — Councilmember,person-co-aspen-bill-guth,Person
asrt-co-aspen-holder-christine-benedetti,CO-NORM-001,HIGH,jurisdiction-co-aspen,NORMALIZED,Normalized under the bounded Aspen CO-NORM-001 execution.,TEXT,office-co-aspen-council-at-large-2025-christine-benedetti,Christine Benedetti is a current at-large Councilmember.,current_office,src-co-aspen-city-council,City Council roster — Councilmember,person-co-aspen-christine-benedetti,Person
asrt-co-aspen-holder-john-doyle,CO-NORM-001,HIGH,jurisdiction-co-aspen,NORMALIZED,Normalized under the bounded Aspen CO-NORM-001 execution.,TEXT,office-co-aspen-council-at-large-2025-john-doyle,John Doyle is a current at-large Councilmember.,current_office,src-co-aspen-city-council,City Council roster — Mayor Pro Tem,person-co-aspen-john-doyle,Person
