actual,batch_id,blocker,check_name,check_type,checked_at,entity_id,entity_type,expected,jurisdiction_id,notes,owner,qa_id,result,severity,source_id
2/2 controls route to Akron townwide and the two active office records,CO-NORM-001,False,Two official address controls,ADDRESS_TESTS,2026-08-19,division-co-akron-townwide,Division,At least two official in-town address controls route consistently,jurisdiction-co-akron,Manual town-level controls passed; parcel-level PIP output not separately archived.,GPT,qa-co-akron-address-tests,True,WARNING,src-co-akron-official-about
GEOID 0800925 mapped to division-co-akron-townwide,CO-NORM-001,False,Townwide boundary normalized,BOUNDARY,2026-08-19,division-co-akron-townwide,Division,Census incorporated-place boundary mapped to townwide division,jurisdiction-co-akron,DS-005 authority is tested separately.,GPT,qa-co-akron-boundary,True,INFO,src-co-akron-census-incplace-2025
All authorized normalization and geography-authority checks pass; parity and replication remain separately gated.,CO-NORM-001,False,Core normalization QA summary,QA,2026-08-19,jurisdiction-co-akron,Jurisdiction,All core normalization categories pass,jurisdiction-co-akron,"CO-NORM-001 Akron normalization QA is closed. No parity, replication, closeout, or release action was authorized or performed.",GPT,qa-co-akron-core-summary,True,INFO,src-co-akron-board-trustees
Official source stack revalidated on 2026-08-19,CO-NORM-001,False,Current official sources revalidated,FRESHNESS,2026-08-19,jurisdiction-co-akron,Jurisdiction,"Roster, code, classification, and address sources current at execution",jurisdiction-co-akron,Future refresh required before release.,GPT,qa-co-akron-freshness,True,INFO,src-co-akron-board-trustees
PLACE | CANONICAL | GEOGRAPHY_AND_JURISDICTION | 1600000US0800925 | PASS | GEO-AUTH-2025-001 | 2026-08-01,CO-NORM-001,False,DS-005 geography authority,GEOGRAPHY_AUTHORITY,2026-08-19,jurisdiction-co-akron,Jurisdiction,PLACE + CANONICAL + GEOGRAPHY_AND_JURISDICTION + canonical target + PASS + GEO-AUTH-2025-001 + reviewed date,jurisdiction-co-akron,"PASS — exact Source_GEOIDFQ matched Nested Divisions!Geography_Disposition row 5675 and satisfied GEO-AUTH-2025-001. Parity, replication, closeout, and release remain separately gated.",GPT,qa-co-akron-geography-authority,True,INFO,src-ds005-geography-disposition-akron
GEOID 0800925 and PLACEFP 00925 verified in crosswalk,CO-NORM-001,False,Verified Census identifiers,IDENTIFIERS,2026-08-19,jurisdiction-co-akron,Jurisdiction,GEOID and PLACEFP preserved with leading zeros,jurisdiction-co-akron,OCD IDs are factory-derived and not treated as externally verified.,GPT,qa-co-akron-identifiers,True,INFO,src-co-akron-census-incplace-2025
1 division; 1 body; 2 office records; 7 people; 7 current role terms; 1 leadership role,CO-NORM-001,False,Normalized structure present,NORMALIZATION,2026-08-19,jurisdiction-co-akron,Jurisdiction,"1 division; 1 body; supported offices, people, terms, and leadership",jurisdiction-co-akron,Trustees modeled as one aggregate six-seat office to avoid invented seat identities.,GPT,qa-co-akron-normalization,True,INFO,src-co-akron-current-code
7 active seats = 7 current RoleTerms + 0 vacant seats,CO-NORM-001,False,Active seat capacity vs current coverage,PARITY,46253,jurisdiction-co-akron,Jurisdiction,Total ACTIVE Office.seats = CURRENT RoleTerms + explicit vacant seat capacity,jurisdiction-co-akron,"PASS — Mayor (1 seat) plus the aggregate Trustee office (6 seats) equals seven CURRENT RoleTerms. Parity uses Office.seats rather than Office-row count; no vacancy or unfilled seat remains. Replication, closeout, release, and publication remain separately gated.",GPT,qa-co-akron-parity,True,INFO,src-co-akron-current-code
Seven unique current officials match the official Town roster,CO-NORM-001,False,Current official roster normalized,PEOPLE,2026-08-19,jurisdiction-co-akron,Jurisdiction,Seven unique current elected officials,jurisdiction-co-akron,"No email, phone, or image was inferred.",GPT,qa-co-akron-people,True,INFO,src-co-akron-board-trustees
23 source-linked assertions captured and normalized,CO-NORM-001,False,RAW assertions captured,RAW,2026-08-19,jurisdiction-co-akron,Jurisdiction,Evidence-backed assertions exist before normalization,jurisdiction-co-akron,No normalized fact lacks a mapped assertion/source path.,GPT,qa-co-akron-raw,True,INFO,src-co-akron-board-trustees
"All division, body, office, person, role-term, and leadership references resolve",CO-NORM-001,False,Foreign-key relationships resolve,RELATIONSHIPS,2026-08-19,jurisdiction-co-akron,Jurisdiction,Every normalized reference resolves to an in-scope entity,jurisdiction-co-akron,No cross-jurisdiction references created.,GPT,qa-co-akron-relationships,True,INFO,src-co-akron-current-code
Akron: 2 ACTIVE Office rows representing 7 seats; 7 CURRENT RoleTerms; 0 vacant seats; 11 sources; 23 assertions; 0 QA failures; 0 blocking gaps; 2/2 address controls. Colorado downstream readbacks match 8 / 0 / 14 / 0 with CURRENT_READONLY_DIRECT_READBACK and drift FALSE.,CO-NORM-001,False,Factory and tracker replication,REPLICATION,46253,jurisdiction-co-akron,Jurisdiction,"Factory row and normalized counts reconcile; state helper, national rollout, System_State, and rollout queue preserve 8 seeded / 0 complete / 14 blockers / 0 QA failures, current sync, and no drift.",jurisdiction-co-akron,"PASS — the governed tracker surfaces reconcile. This check satisfies tracker_ok only; closeout, release, and publication were not performed.",GPT,qa-co-akron-replication,True,INFO,
Akron-only rows written; Arvada and Aspen remain untouched in this pass,CO-NORM-001,False,Authorized jurisdiction scope,SCOPE,2026-08-19,jurisdiction-co-akron,Jurisdiction,Only Akron records written in this execution unit,jurisdiction-co-akron,CO-NORM-001 scope check.,GPT,qa-co-akron-scope,True,INFO,src-co-akron-board-trustees
All normalized rows contain mapped official source IDs,CO-NORM-001,False,Source coverage,SOURCES,2026-08-19,jurisdiction-co-akron,Jurisdiction,Every normalized record has source IDs,jurisdiction-co-akron,Ten SourceEvidence rows now support Akron.,GPT,qa-co-akron-sources,True,INFO,src-co-akron-board-trustees
Seven CURRENT role terms; expiration years captured in assertions/notes; exact dates blank,CO-NORM-001,False,Tenure evidence handled without date inference,TENURE,2026-08-19,jurisdiction-co-akron,Jurisdiction,Current status and published expiration years captured; unknown exact dates remain blank,jurisdiction-co-akron,Passing with explicit date-precision limitation.,GPT,qa-co-akron-tenure,True,WARNING,src-co-akron-board-trustees
