actual,batch_id,blocker,check_name,check_type,checked_at,entity_id,entity_type,expected,jurisdiction_id,notes,owner,qa_id,result,severity,source_id
2/2 controls pass for City Hall and the Alamosa Recreation Center. Both route to Alamosa citywide and the Mayor plus aggregate at-large office; no Ward 1–4 result was inferred.,CO-NORM-002,False,Two citywide address controls,ADDRESS_TESTS,2026-08-19,division-co-alamosa-citywide,Division,At least two independent official or official-authority-supported in-city addresses route consistently to the citywide division and citywide offices.,jurisdiction-co-alamosa,Citywide controls pass; ward-level PIP remains outside this execution record.,GPT,qa-co-alamosa-address-tests,True,WARNING,src-co-alamosa-county-assessor
GEOID 0801090 maps to the citywide division and Wards 1–4 are normalized from the official City/County ward map. A separate machine-readable ward service and ward-level PIP archive were not captured.,CO-NORM-002,False,City and ward geography,BOUNDARY,2026-08-19,division-co-alamosa-citywide,Division,Citywide incorporated-place geography and official Wards 1–4 are mapped with stable representation keys; district geometry/PIP is not required by the v0.1 boundary gate.,jurisdiction-co-alamosa,"PASS within bounded QA; gap-co-alamosa-ward-pip-archive remains OPEN, WARNING, and nonblocking.",GPT,qa-co-alamosa-boundary,True,WARNING,src-co-alamosa-county-elections
"All bounded formal-QA checks pass; QA failures = 0, blocking gaps = 0, geography_gate_ok = TRUE. Nonblocking ward-PIP and date-precision warnings remain documented.",CO-NORM-002,False,Formal normalization QA summary,QA,2026-08-19,jurisdiction-co-alamosa,Jurisdiction,All SCOPE-through-FRESHNESS checks and geography authority pass with zero blocking failures.,jurisdiction-co-alamosa,"Alamosa formal QA is closed. Parity, replication, closeout, release, and publication were not run.",GPT,qa-co-alamosa-core-summary,True,INFO,src-co-alamosa-current-council-roster
Core source mapping was accessed 2026-08-18; the current Council roster was revalidated 2026-08-19 08:53 America/Denver and DS-005/address additions were recorded 2026-08-19 14:37 America/Denver.,CO-NORM-002,False,Current evidence revalidation,FRESHNESS,2026-08-19,jurisdiction-co-alamosa,Jurisdiction,"Current roster, Charter/code, election/ward, address, and geography evidence was accessed or revalidated within the current production day.",jurisdiction-co-alamosa,A fresh source readback remains required before any future release or publication action.,GPT,qa-co-alamosa-freshness,True,INFO,src-co-alamosa-current-council-roster
PLACE | CANONICAL | GEOGRAPHY_AND_JURISDICTION | 1600000US0801090 | PASS | GEO-AUTH-2025-001 | 2026-08-01,CO-NORM-002,False,DS-005 geography authority,GEOGRAPHY_AUTHORITY,2026-08-19,jurisdiction-co-alamosa,Jurisdiction,PLACE + CANONICAL + GEOGRAPHY_AND_JURISDICTION + matching canonical target + PASS + GEO-AUTH-2025-001 + reviewed date.,jurisdiction-co-alamosa,"Exact Source_GEOIDFQ matched the authoritative Geography_Disposition row. Parity, replication, closeout, release, and publication remain separately gated.",GPT,qa-co-alamosa-geography-authority,True,INFO,src-ds005-geography-disposition-alamosa
"6 VERIFIED crosswalks: GEOID 0801090, PLACEFP 01090, and official ward keys 1, 2, 3, and 4.",CO-NORM-002,False,Identifier and ward-key integrity,IDENTIFIERS,2026-08-19,jurisdiction-co-alamosa,Jurisdiction,"GEOID and PLACEFP retain leading zeros, and Wards 1–4 retain verified official representation keys.",jurisdiction-co-alamosa,Factory-derived OCD identifiers remain provenance-labeled and are not treated as external partner validation.,GPT,qa-co-alamosa-identifiers,True,INFO,src-co-alamosa-county-elections
"5 divisions, 1 governing body, 6 ACTIVE Office records representing 7 seats, 7 people, and 7 CURRENT RoleTerms are present. The two at-large seats are one aggregate two-seat office.",CO-NORM-002,False,Normalized mixed ward/at-large governing structure,NORMALIZATION,2026-08-19,jurisdiction-co-alamosa,Jurisdiction,"Citywide electorate, Wards 1–4, one City Council, Mayor, two at-large seats, and four ward seats are represented without invented numbered at-large identities.",jurisdiction-co-alamosa,No current leadership role was normalized because a current Mayor Pro Tem assignment was not revalidated.,GPT,qa-co-alamosa-normalization,True,INFO,src-co-alamosa-municipal-code
7 active seats = 7 current RoleTerms + 0 vacant seats,CO-NORM-002,False,Active seat capacity vs current coverage,PARITY,46253,jurisdiction-co-alamosa,Jurisdiction,Total ACTIVE Office.seats = CURRENT RoleTerms + explicit vacant seat capacity,jurisdiction-co-alamosa,"PASS — Six ACTIVE Office records represent seven elected seats: Mayor 1 + aggregate at-large 2 + Wards 1–4 at 1 each. Seven CURRENT RoleTerms cover all seven seats with zero vacancies. The nonblocking Ward PIP archive and tenure-precision warnings remain documented. Replication, closeout, release, and publication remain separately gated.",GPT,qa-co-alamosa-parity,True,INFO,src-co-alamosa-current-council-roster
"Ty Coleman, Jan Vigil, Michael Carson, Liz Hensley, Dawn Krebs, Jackie Vigil, and Mark Martinez map to 7 CURRENT RoleTerms across 7 active seats; vacant seats = 0.",CO-NORM-002,False,Current roster and seat coverage,PEOPLE,2026-08-19,jurisdiction-co-alamosa,Jurisdiction,"Seven unique current elected officials cover all seven active elected seats, or any uncovered seat is explicitly vacant.",jurisdiction-co-alamosa,The aggregate two-seat at-large Office correctly carries two current RoleTerms.,GPT,qa-co-alamosa-people,True,INFO,src-co-alamosa-current-council-roster
"28 source-linked assertions are recorded for Alamosa; all 28 are normalized and trace to the jurisdiction, divisions, body, offices, people, current terms, and identifiers.",CO-NORM-002,False,RAW assertion coverage,RAW,2026-08-19,jurisdiction-co-alamosa,Jurisdiction,Evidence-backed RAW assertions exist before and support normalization.,jurisdiction-co-alamosa,No unsupported assertion or normalized fact was identified in the bounded readback.,GPT,qa-co-alamosa-raw,True,INFO,src-co-alamosa-current-council-roster
"All office-to-body/division, RoleTerm-to-person/office/body, source, assertion, crosswalk, and address-control references resolve; no cross-jurisdiction link was identified.",CO-NORM-002,False,Foreign-key and entity separation,RELATIONSHIPS,2026-08-19,jurisdiction-co-alamosa,Jurisdiction,"All normalized references resolve within Alamosa, with Jurisdiction, Division, Body, Office, Person, and RoleTerm kept distinct.",jurisdiction-co-alamosa,Absence of a LeadershipRole row is deliberate and not an orphan condition.,GPT,qa-co-alamosa-relationships,True,INFO,src-co-alamosa-current-council-roster
Alamosa: 6 ACTIVE Office rows representing 7 seats; 7 CURRENT RoleTerms; 0 vacant seats; 11 sources; 28 assertions; 0 QA failures; 0 blocking gaps; 2/2 address controls. Colorado downstream readbacks match 8 / 3 / 12 / 0 with CURRENT_READONLY_DIRECT_READBACK and drift FALSE.,CO-NORM-002,False,Factory and tracker replication,REPLICATION,2026-08-19,jurisdiction-co-alamosa,Jurisdiction,"Factory row and normalized counts reconcile; state helper, national rollout, System_State, and rollout queue preserve 8 seeded / 3 complete / 12 blockers / 0 QA failures, current sync, and no drift.",jurisdiction-co-alamosa,"PASS — the governed tracker surfaces reconcile. This satisfies tracker_ok only; the Ward PIP archive and tenure-precision warnings remain nonblocking. Closeout, new release, and publication were not performed.",GPT,qa-co-alamosa-replication,True,INFO,src-co-alamosa-current-council-roster
"Reviewed 11 sources, 28 RAW assertions, 5 divisions, 1 body, 6 active Office records representing 7 seats, 7 people, 7 current RoleTerms, 6 crosswalks, and 2 address controls; no other jurisdiction is evaluated by this QA row set.",CO-NORM-002,False,Authorized formal-QA scope,SCOPE,2026-08-19,jurisdiction-co-alamosa,Jurisdiction,Only Alamosa normalized records are evaluated in this QA unit.,jurisdiction-co-alamosa,"Bounded formal QA only. Parity, replication, closeout, release, and publication remain separately gated.",GPT,qa-co-alamosa-scope,True,INFO,src-co-alamosa-current-council-roster
