actual,batch_id,blocker,check_name,check_type,checked_at,entity_id,entity_type,expected,jurisdiction_id,notes,owner,qa_id,result,severity,source_id
2/2 controls pass for City Hall and the Wheeler Opera House. Both route to Aspen citywide and all five elected offices; no district result exists or was inferred.,CO-NORM-001,False,Two citywide address controls,ADDRESS_TESTS,46253,division-co-aspen-citywide,Division,At least two independent official in-city addresses route consistently to the citywide division and all five at-large offices.,jurisdiction-co-aspen,PASS at citywide level; parcel-level PIP output was not separately archived.,GPT,qa-co-aspen-address-tests,True,WARNING,src-co-aspen-wheeler-opera-house
"GEOID 0803620 maps to division-co-aspen-citywide; all five elected offices are at-large, and no ward or district division was created.",CO-NORM-001,False,Citywide electoral geography,BOUNDARY,46253,division-co-aspen-citywide,Division,Aspen's incorporated-place boundary maps to one citywide electorate with no internal electoral districts.,jurisdiction-co-aspen,DS-005 authority is tested separately.,GPT,qa-co-aspen-boundary,True,INFO,src-co-aspen-gis-mapping
"All bounded formal-QA checks pass; QA failures = 0, blocking gaps = 0, geography_gate_ok = TRUE. Nonblocking seat-identity and date-precision warnings remain documented.",CO-NORM-001,False,Formal normalization QA summary,QA,46253,jurisdiction-co-aspen,Jurisdiction,All SCOPE-through-FRESHNESS checks and geography authority pass with zero blocking failures.,jurisdiction-co-aspen,"Aspen formal QA is closed. Parity, replication, closeout, release, and publication were not run.",GPT,qa-co-aspen-core-summary,True,INFO,src-co-aspen-city-council
The authoritative source stack and normalized readback were revalidated on 2026-08-19.,CO-NORM-001,False,Current evidence revalidation,FRESHNESS,46253,jurisdiction-co-aspen,Jurisdiction,"Current Charter/code, Council roster, election, GIS/address, and geography sources are current at QA.",jurisdiction-co-aspen,A fresh source readback remains required before any future release.,GPT,qa-co-aspen-freshness,True,INFO,src-co-aspen-city-council
PLACE | CANONICAL | GEOGRAPHY_AND_JURISDICTION | 1600000US0803620 | PASS | GEO-AUTH-2025-001 | 2026-08-01,CO-NORM-001,False,DS-005 geography authority,GEOGRAPHY_AUTHORITY,46253,jurisdiction-co-aspen,Jurisdiction,PLACE + CANONICAL + GEOGRAPHY_AND_JURISDICTION + matching canonical target + PASS + GEO-AUTH-2025-001 + reviewed date.,jurisdiction-co-aspen,Exact Source_GEOIDFQ matched the authoritative Geography_Disposition row; release remains separately gated.,GPT,qa-co-aspen-geography-authority,True,INFO,src-ds005-geography-disposition-aspen
2 VERIFIED crosswalks: GEOID 0803620 and PLACEFP 03620.,CO-NORM-001,False,Census identifier integrity,IDENTIFIERS,46253,jurisdiction-co-aspen,Jurisdiction,GEOID and PLACEFP retain leading zeros and verified crosswalk status.,jurisdiction-co-aspen,Factory-derived OCD identifiers remain provenance-labeled and are not treated as external partner validation.,GPT,qa-co-aspen-identifiers,True,INFO,src-co-aspen-census-incplace-2025
"1 citywide division, 1 governing body, 5 active offices, 5 people, 5 CURRENT RoleTerms, and 1 current Mayor Pro Tem leadership role are present.",CO-NORM-001,False,Normalized at-large governing structure,NORMALIZATION,46253,jurisdiction-co-aspen,Jurisdiction,"One citywide electorate, one City Council, one Mayor office, and four at-large Councilmember offices with current holders.",jurisdiction-co-aspen,PASS with the existing nonblocking seat-identity warning: cycle and incumbent anchors distinguish unnumbered at-large offices without claiming permanent seat identities.,GPT,qa-co-aspen-normalization,True,WARNING,src-co-aspen-municipal-code
5 active seats = 5 current RoleTerms + 0 vacant seats,CO-NORM-001,False,Active seat capacity vs current coverage,PARITY,46253,jurisdiction-co-aspen,Jurisdiction,Total ACTIVE Office.seats = CURRENT RoleTerms + explicit vacant seat capacity,jurisdiction-co-aspen,"PASS — Five one-seat elected offices equal five CURRENT RoleTerms, with zero vacant seats. The nonblocking at-large seat-identity warning remains documented. Replication, closeout, release, and publication remain separately gated.",GPT,qa-co-aspen-parity,True,INFO,src-co-aspen-city-council
Five unique current officials map one-to-one to five active filled offices; vacant offices = 0.,CO-NORM-001,False,Current roster coverage,PEOPLE,46253,jurisdiction-co-aspen,Jurisdiction,"Five unique current elected officials cover all five active offices, or any uncovered office is explicitly vacant.",jurisdiction-co-aspen,Mayor and four at-large Councilmembers are all represented.,GPT,qa-co-aspen-people,True,INFO,src-co-aspen-city-council
"40 source-linked assertions are recorded for Aspen and map to the normalized jurisdiction, citywide division, body, offices, people, current terms, leadership, and identifiers.",CO-NORM-001,False,RAW assertion coverage,RAW,46253,jurisdiction-co-aspen,Jurisdiction,Evidence-backed RAW assertions exist before and support normalization.,jurisdiction-co-aspen,No unsupported assertion or normalized fact was added during QA.,GPT,qa-co-aspen-raw,True,INFO,src-co-aspen-city-council
"All division, body, office, person, RoleTerm, leadership, source, assertion, crosswalk, and address-control references resolve with no cross-jurisdiction links.",CO-NORM-001,False,Foreign-key and entity separation,RELATIONSHIPS,46253,jurisdiction-co-aspen,Jurisdiction,"All normalized references resolve within Aspen, with Person, Office, RoleTerm, Division, Body, and LeadershipRole kept distinct.",jurisdiction-co-aspen,No orphaned or duplicate normalized relationships were identified.,GPT,qa-co-aspen-relationships,True,INFO,src-co-aspen-city-council
Aspen: 5 ACTIVE offices/seats; 5 CURRENT RoleTerms; 0 vacant seats; 11 sources; 40 assertions; 0 QA failures; 0 blocking gaps; 2/2 address controls. Colorado downstream readbacks match 8 / 0 / 14 / 0 with CURRENT_READONLY_DIRECT_READBACK and drift FALSE.,CO-NORM-001,False,Factory and tracker replication,REPLICATION,46253,jurisdiction-co-aspen,Jurisdiction,"Factory row and normalized counts reconcile; state helper, national rollout, System_State, and rollout queue preserve 8 seeded / 0 complete / 14 blockers / 0 QA failures, current sync, and no drift.",jurisdiction-co-aspen,"PASS — the governed tracker surfaces reconcile. Nonblocking at-large seat-identity and date-precision warnings remain; closeout, release, and publication were not performed.",GPT,qa-co-aspen-replication,True,INFO,
"Reviewed Aspen's 11 sources, 40 RAW assertions, 1 division, 1 body, 5 offices, 5 people, 5 current RoleTerms, 1 leadership role, 2 crosswalks, and 2 address controls; no other jurisdiction was modified.",CO-NORM-001,False,Authorized formal-QA scope,SCOPE,46253,jurisdiction-co-aspen,Jurisdiction,Only Aspen normalized records are evaluated in this QA unit.,jurisdiction-co-aspen,"Bounded formal QA only. Parity, replication, closeout, release, and publication remain separately gated.",GPT,qa-co-aspen-scope,True,INFO,src-co-aspen-city-council
"11 SourceEvidence records cover Charter/code, Council, elections, appointed-body path, agendas, GIS, records, facility controls, Census, and DS-005; normalized rows retain source IDs.",CO-NORM-001,False,Authoritative source coverage,SOURCES,46253,jurisdiction-co-aspen,Jurisdiction,Normalized records retain mapped authoritative source IDs and valid HTTP(S) locators.,jurisdiction-co-aspen,No non-HTTP source locator or unsupported secondary substitution was identified.,GPT,qa-co-aspen-sources,True,INFO,src-co-aspen-municipal-code
Five CURRENT RoleTerms are source-backed. Month-level values remain YYYY-MM text. John Doyle's 2021 swearing reference is preserved as source text but not used as the start of the term associated with the reported 2025 election.,CO-NORM-001,False,Source-backed tenure precision,TENURE,46253,jurisdiction-co-aspen,Jurisdiction,"Election, service-start, and term-end evidence is preserved at the precision published; conflicts or older intervals are not repurposed as current-term dates.",jurisdiction-co-aspen,PASS with explicit source ambiguity and date-precision limitations; unsupported day precision remains blank.,GPT,qa-co-aspen-tenure,True,WARNING,src-co-aspen-city-council
