actual,batch_id,blocker,check_name,check_type,checked_at,entity_id,entity_type,expected,jurisdiction_id,notes,owner,qa_id,result,severity,source_id
2/2 controls pass for City Hall and Majestic View Nature Center. Both route to Arvada citywide and the Mayor plus two at-large offices; no Council-district assignment was inferred.,CO-NORM-001,False,Two citywide address controls,ADDRESS_TESTS,46253,division-co-arvada-citywide,Division,At least two independent official in-city addresses route consistently to the citywide division and all citywide elected offices.,jurisdiction-co-arvada,Citywide controls pass. District-level point-in-polygon outputs remain outside this execution record.,GPT,qa-co-arvada-address-tests,True,WARNING,src-co-arvada-majestic-view
"Citywide GEOID 0803455 and four official Council-district divisions/keys are normalized. The interactive official map is retained, but a separate machine-readable service and district PIP archive were not captured.",CO-NORM-001,False,City and Council-district geography,BOUNDARY,46253,division-co-arvada-citywide,Division,Arvada citywide geography and official Council Districts 1–4 are mapped with stable representation keys.,jurisdiction-co-arvada,PASS within the bounded QA scope; the existing DISTRICT_ADDRESS_PIP_ARCHIVE warning remains open and nonblocking.,GPT,qa-co-arvada-boundary,True,WARNING,src-co-arvada-council-district-map
"All bounded formal-QA checks pass; QA failures = 0, blocking gaps = 0, geography_gate_ok = TRUE. Nonblocking district-PIP and date-precision warnings remain documented.",CO-NORM-001,False,Formal normalization QA summary,QA,46253,jurisdiction-co-arvada,Jurisdiction,All SCOPE-through-FRESHNESS checks and geography authority pass with zero blocking failures.,jurisdiction-co-arvada,"Arvada formal QA is closed. Parity, replication, closeout, release, and publication were not run.",GPT,qa-co-arvada-core-summary,True,INFO,src-co-arvada-city-council
The authoritative source stack and normalized readback were revalidated on 2026-08-19.,CO-NORM-001,False,Current evidence revalidation,FRESHNESS,46253,jurisdiction-co-arvada,Jurisdiction,"Current roster, election, Charter/code, district-map, address, and geography sources are current at QA.",jurisdiction-co-arvada,A fresh source readback remains required before any future release.,GPT,qa-co-arvada-freshness,True,INFO,src-co-arvada-city-council
PLACE | CANONICAL | GEOGRAPHY_AND_JURISDICTION | 1600000US0803455 | PASS | GEO-AUTH-2025-001 | 2026-08-01,CO-NORM-001,False,DS-005 geography authority,GEOGRAPHY_AUTHORITY,46253,jurisdiction-co-arvada,Jurisdiction,PLACE + CANONICAL + GEOGRAPHY_AND_JURISDICTION + matching canonical target + PASS + GEO-AUTH-2025-001 + reviewed date.,jurisdiction-co-arvada,Exact Source_GEOIDFQ matched the authoritative Geography_Disposition row; release remains separately gated.,GPT,qa-co-arvada-geography-authority,True,INFO,src-ds005-geography-disposition-arvada
"6 VERIFIED crosswalks: GEOID 0803455, PLACEFP 03455, and official Council district keys 1, 2, 3, and 4.",CO-NORM-001,False,Identifier and representation-key integrity,IDENTIFIERS,46253,jurisdiction-co-arvada,Jurisdiction,"GEOID and PLACEFP retain leading zeros, and Districts 1–4 have verified official representation keys.",jurisdiction-co-arvada,Factory-derived OCD identifiers remain provenance-labeled and are not treated as external partner validation.,GPT,qa-co-arvada-identifiers,True,INFO,src-co-arvada-council-district-map
"5 divisions, 1 governing body, 7 active offices, 7 people, 7 CURRENT RoleTerms, and 1 current Mayor Pro Tem leadership role are present.",CO-NORM-001,False,Normalized governing structure,NORMALIZATION,46253,jurisdiction-co-arvada,Jurisdiction,"One citywide division, official Districts 1–4, one City Council, and seven elected offices with current holders.",jurisdiction-co-arvada,Two at-large offices retain 2023-cycle and 2025-cycle identities because the City publishes no numbered at-large positions.,GPT,qa-co-arvada-normalization,True,INFO,src-co-arvada-charter
7 active seats = 7 current RoleTerms + 0 vacant seats,CO-NORM-001,False,Active seat capacity vs current coverage,PARITY,46253,jurisdiction-co-arvada,Jurisdiction,Total ACTIVE Office.seats = CURRENT RoleTerms + explicit vacant seat capacity,jurisdiction-co-arvada,"PASS — Seven one-seat elected offices equal seven CURRENT RoleTerms, with zero vacant seats. Replication, closeout, release, and publication remain separately gated.",GPT,qa-co-arvada-parity,True,INFO,src-co-arvada-city-council
Seven unique current officials map one-to-one to seven active filled offices; vacant offices = 0.,CO-NORM-001,False,Current roster coverage,PEOPLE,46253,jurisdiction-co-arvada,Jurisdiction,"Seven unique current elected officials cover all seven active offices, or any uncovered office is explicitly vacant.",jurisdiction-co-arvada,"Mayor, two at-large Councilmembers, and District 1–4 Councilmembers are all represented.",GPT,qa-co-arvada-people,True,INFO,src-co-arvada-city-council
"40 source-linked assertions are recorded for Arvada and map to the normalized jurisdiction, divisions, body, offices, people, current terms, leadership, and identifiers.",CO-NORM-001,False,RAW assertion coverage,RAW,46253,jurisdiction-co-arvada,Jurisdiction,Evidence-backed RAW assertions exist before and support normalization.,jurisdiction-co-arvada,No unsupported assertion or normalized fact was added during QA.,GPT,qa-co-arvada-raw,True,INFO,src-co-arvada-city-council
